cible,horizon,bloc,comparaison,n_previsions,rmse_modele,mae_modele,rmse_baseline,mae_baseline,biais_moyen_modele,gain_rmse_vs_baseline_pct,seuil_gain_atteint,statut,rmse_relative_modele,rmse_relative_baseline,derive_systematique,motif
SOBG,1,interne,benchlearning_vs_random_walk,9,4.3008670754777185,4.063991931702676,1.3658541397517503,0.8760096978741222,4.063991931702676,,,evalue,0.9008626423809236,0.28609276870223044,True,
SOBG,1,interne,benchlearning_vs_modele_national,9,4.3008670754777185,4.063991931702676,1.768693327679486,1.2185268082844178,4.063991931702676,,,evalue,0.9008626423809236,0.37047174831783647,True,
SOBG,1,finale,benchlearning_vs_random_walk,4,3.479895197339672,3.0669119903247317,0.8605043503644926,0.8062164712203501,3.0669119903247317,,,evalue,0.7095132533624512,0.17544759440640678,True,
SOBG,1,finale,benchlearning_vs_modele_national,4,3.479895197339672,3.0669119903247317,0.9654632775796911,0.7570044238720348,3.0669119903247317,,,evalue,0.7095132533624512,0.1968475923071537,True,
SOBG,2,interne,benchlearning_vs_random_walk,7,4.040669577408248,3.8687203851122485,1.6697334981686807,1.2334661573569288,3.8687203851122485,,,evalue,0.8941237229856639,0.36948042970988454,True,
SOBG,2,interne,benchlearning_vs_modele_national,7,4.040669577408248,3.8687203851122485,1.7510657834201135,1.3360186370423845,3.8687203851122485,,,evalue,0.8941237229856639,0.3874777255280166,True,
SOBG,2,finale,benchlearning_vs_random_walk,4,3.4158589044058925,3.357282562855576,1.7363432573303874,1.71595280901455,3.357282562855576,,,evalue,0.6964569410437782,0.35402174019615673,True,
SOBG,2,finale,benchlearning_vs_modele_national,4,3.4158589044058925,3.357282562855576,1.4112288587831392,1.055484710378052,3.357282562855576,,,evalue,0.6964569410437782,0.28773440636938497,True,
SOBG,3,interne,benchlearning_vs_random_walk,5,4.9829542360051775,4.879058531362019,1.9293695492885434,1.45789103210604,4.879058531362019,,,evalue,1.119199117119385,0.43334708566216096,True,
SOBG,3,interne,benchlearning_vs_modele_national,5,4.9829542360051775,4.879058531362019,3.913619578699447,3.3271070715025273,4.879058531362019,,,evalue,1.119199117119385,0.8790206310891372,True,
SOBG,3,finale,benchlearning_vs_random_walk,4,3.7681172673952417,3.2800710901610954,2.221192730353471,2.17698335828525,3.2800710901610954,,,evalue,0.7682786376683701,0.45287734000234237,True,
SOBG,3,finale,benchlearning_vs_modele_national,4,3.7681172673952417,3.2800710901610954,5.429462509414609,4.20915279314592,3.2800710901610954,,,evalue,0.7682786376683701,1.1070090880924301,True,
SOBG,4,interne,benchlearning_vs_random_walk,5,4.929064189909741,4.701119121002995,1.7805278405092224,1.6507243976084802,4.701119121002995,,,evalue,1.1070951143220626,0.3999164135815949,True,
SOBG,4,interne,benchlearning_vs_modele_national,5,4.929064189909741,4.701119121002995,3.8169490991820694,3.646354912383341,4.701119121002995,,,evalue,1.1070951143220626,0.8573079060262445,True,
SOBG,4,finale,benchlearning_vs_random_walk,4,4.507859047072173,4.396591486455774,2.293082881583889,2.0731287284470747,4.396591486455774,,,evalue,0.9191040410161359,0.46753496966981245,True,
SOBG,4,finale,benchlearning_vs_modele_national,4,4.507859047072173,4.396591486455774,1.8351753939358109,1.7723872679062167,4.396591486455774,,,evalue,0.9191040410161359,0.3741725512991129,True,
SOBG,5,interne,benchlearning_vs_random_walk,1,,,,,,,,non_concluant,,,,n=1 < seuil minimal 4 : effectif insuffisant pour conclure.
SOBG,5,interne,benchlearning_vs_modele_national,1,,,,,,,,non_concluant,,,,n=1 < seuil minimal 4 : effectif insuffisant pour conclure.
SOBG,5,finale,benchlearning_vs_random_walk,4,3.51595231891472,3.454040039700427,1.3341264375105308,1.1260826492632998,3.454040039700427,,,evalue,0.7168649131639175,0.27201405082503644,True,
SOBG,5,finale,benchlearning_vs_modele_national,4,3.51595231891472,3.454040039700427,4.241823220301878,3.9416719505953277,3.454040039700427,,,evalue,0.7168649131639175,0.864862193414788,True,
DETTE_PUBLIQUE,1,interne,benchlearning_vs_random_walk,9,17.04396308506332,16.07486614875542,4.517127897729315,2.7111111111111126,-16.07486614875542,,,evalue,0.2841713000473691,0.07531335879874737,True,
DETTE_PUBLIQUE,1,interne,benchlearning_vs_modele_national,9,17.04396308506332,16.07486614875542,4.8720539824658,3.5193790503881126,-16.07486614875542,,,evalue,0.2841713000473691,0.08123098525785881,True,
