cible,mediane,moyenne,borne_basse_68,borne_haute_68,borne_basse_95,borne_haute_95,scenario,horizon,distribution,annee_projetee,horizon_teste_backtest,n_tirages
SOBG,-1.455025032395767,-1.6631439800474836,-2.8295557112459226,0.9736849267222709,-5.8695606302087935,1.4102099181356507,benchmark_pur,7,bootstrap_empirique,2031,False,10000
DETTE_PUBLIQUE,23.039499089492896,23.542951350277214,20.498200762213383,30.557332101474476,11.522497292676835,31.281527976811933,benchmark_pur,7,bootstrap_empirique,2031,False,10000
BALANCE_COURANTE,3.6606304198807744,4.067388017667773,0.5013742641681935,8.598860365924331,-0.03480465058713644,8.879026472320358,benchmark_pur,7,bootstrap_empirique,2031,False,10000
TACH,8.292362515545857,8.288792064750734,7.522547851881237,8.875952394706523,6.033786024936765,9.883217483345767,benchmark_pur,7,bootstrap_empirique,2031,False,10000
FBCF,18.38398127964004,18.25685904394827,16.16693553503982,20.3910019688408,13.307186180979446,21.427033944093182,benchmark_pur,7,bootstrap_empirique,2031,False,10000
CROISSANCE_PIB,3.5087016450321293,3.4331053088067756,-5.845727845088477,12.736929534367357,-15.006928573222963,21.336413268743204,benchmark_pur,8,gaussienne,2032,False,10000
INFLATION_CPI,2.675618021244435,2.711303501394103,-2.758156089563881,8.168526390054646,-7.887124316458497,13.485038133824162,benchmark_pur,8,gaussienne,2032,False,10000
SOBG,-1.3322571941960009,-1.3675694160146392,-6.892897059311136,4.075064959068103,-12.209463895422726,9.567251766919197,benchmark_pur,8,gaussienne,2032,False,10000
DETTE_PUBLIQUE,21.513843166813558,21.505964938657034,8.003379558361793,35.115204492787,-5.274166006545778,48.16063825497859,benchmark_pur,8,gaussienne,2032,False,10000
BALANCE_COURANTE,3.6098322864896986,3.7795181479975066,-4.505621373123603,12.268503940387422,-12.319048795733613,20.337109601217097,benchmark_pur,8,gaussienne,2032,False,10000
TACH,9.865401163840165,9.876035343512196,7.526136856581575,12.215390292100405,5.289134824434983,14.510788001344379,benchmark_pur,8,gaussienne,2032,False,10000
FBCF,18.829361931581865,18.803492597717703,12.70807475414421,24.940528817623886,6.712949006229608,30.50375126571255,benchmark_pur,8,gaussienne,2032,False,10000
CROISSANCE_PIB,4.779511767837084,4.4711479075312655,1.4286798608547686,5.548700515789472,-0.9761115147944812,15.038151016689962,benchmark_pur,8,bootstrap_empirique,2032,False,10000
INFLATION_CPI,3.1659110990974253,2.5336351038866587,0.7437444862520965,3.9560393305856367,-2.4977327244200866,4.59494900836599,benchmark_pur,8,bootstrap_empirique,2032,False,10000
SOBG,-0.5452269585831488,-0.7533459062348654,-1.9197576374333045,1.883483000534889,-4.959762556396175,2.320007991948269,benchmark_pur,8,bootstrap_empirique,2032,False,10000
DETTE_PUBLIQUE,20.426736500611117,20.93018876139544,17.885438173331604,27.944569512592697,8.909734703795056,28.668765387930154,benchmark_pur,8,bootstrap_empirique,2032,False,10000
BALANCE_COURANTE,5.334543498521915,5.741301096308915,2.1752873428093347,10.272773444565473,1.639108428054005,10.552939550961499,benchmark_pur,8,bootstrap_empirique,2032,False,10000
TACH,10.101821645302941,10.098251194507817,9.33200698163832,10.685411524463607,7.843245154693848,11.69267661310285,benchmark_pur,8,bootstrap_empirique,2032,False,10000
FBCF,17.822622815548918,17.69550057985715,15.605577070948698,19.82964350474968,12.745827716888325,20.86567548000206,benchmark_pur,8,bootstrap_empirique,2032,False,10000
CROISSANCE_PIB,2.5667256662689693,2.4865436433022654,-7.355145123624588,12.354739444594617,-17.072065861637128,21.475869339515498,benchmark_pur,9,gaussienne,2033,False,10000
INFLATION_CPI,10.38870082919041,10.426550996696003,4.625313047407712,16.214809963223466,-0.8147792731835831,21.853822222639476,benchmark_pur,9,gaussienne,2033,False,10000
SOBG,-1.7521383121731628,-1.7895925794332384,-7.650087546711886,3.9831929317767827,-13.289158240380909,9.808536734838995,benchmark_pur,9,gaussienne,2033,False,10000
DETTE_PUBLIQUE,15.410487922086022,15.402131799256201,1.080477270320545,29.836910162532426,-13.002486489368726,43.67368217768084,benchmark_pur,9,gaussienne,2033,False,10000
BALANCE_COURANTE,4.80827096500153,4.988250000017014,-3.7994675076750895,13.992179128809797,-12.086858779929788,22.550227795049004,benchmark_pur,9,gaussienne,2033,False,10000
TACH,5.037430894580378,5.048710145418049,2.5562664126050754,7.529970767041594,0.18356745291665724,9.964607695631315,benchmark_pur,9,gaussienne,2033,False,10000
FBCF,17.176271728238937,17.148833156138746,10.68366621910429,23.658143047363414,4.324875113479567,29.558831524802482,benchmark_pur,9,gaussienne,2033,False,10000
CROISSANCE_PIB,3.834024898179661,3.5256610378738427,0.4831929911973458,4.603213646132049,-1.921598384451904,14.09266414703254,benchmark_pur,9,bootstrap_empirique,2033,False,10000
INFLATION_CPI,10.880181234322167,10.2479052391114,8.458014621476838,11.670309465810378,5.216537410804655,12.309219143590731,benchmark_pur,9,bootstrap_empirique,2033,False,10000
SOBG,-0.9650059331162089,-1.1731248807679255,-2.3395366119663645,1.463704026001829,-5.379541530929235,1.9002290174152088,benchmark_pur,9,bootstrap_empirique,2033,False,10000
DETTE_PUBLIQUE,14.315331992907733,14.818784253692051,11.77403366562822,21.833165004889313,2.7983301960916727,22.55736088022677,benchmark_pur,9,bootstrap_empirique,2033,False,10000
BALANCE_COURANTE,6.544215637534068,6.950973235321067,3.384959481821487,11.482445583577626,2.8487805670661572,11.762611689973651,benchmark_pur,9,bootstrap_empirique,2033,False,10000
TACH,5.272343564220041,5.268773113424917,4.50252890055542,5.855933443380707,3.013767073610948,6.8631985320199504,benchmark_pur,9,bootstrap_empirique,2033,False,10000
FBCF,16.17048190810814,16.043359672416372,13.95343616350792,18.1775025973089,11.093686809447547,19.213534572561283,benchmark_pur,9,bootstrap_empirique,2033,False,10000
CROISSANCE_PIB,3.3962454527951618,3.311726179470252,-7.062324662524024,13.713717889001655,-17.304858454338664,23.328232989735735,benchmark_pur,10,gaussienne,2034,False,10000
INFLATION_CPI,2.708264600801007,2.748162180513194,-3.366879542271935,8.849522854219567,-9.101240347158408,14.793563685341864,benchmark_pur,10,gaussienne,2034,False,10000
SOBG,-1.9935295650862848,-2.0330098292977987,-8.210513933482638,4.052040390383249,-14.154616359715888,10.192491914124561,benchmark_pur,10,gaussienne,2034,False,10000
DETTE_PUBLIQUE,19.93599806442048,19.92718993757036,4.830840546402854,35.14278232012713,-10.013906682339238,49.72802066424275,benchmark_pur,10,gaussienne,2034,False,10000
BALANCE_COURANTE,4.181692734992607,4.371407295568646,-4.8916602905797895,13.86238194147554,-13.627337717688267,22.88335731210292,benchmark_pur,10,gaussienne,2034,False,10000
TACH,4.639904836720143,4.651794211035947,2.0245278325355627,7.26727255530783,-0.4765164723069149,9.833605211941242,benchmark_pur,10,gaussienne,2034,False,10000
FBCF,19.232719119862654,19.203796325336203,12.388912000588446,26.065211409380485,5.686157647590281,32.28508319332002,benchmark_pur,10,gaussienne,2034,False,10000
CROISSANCE_PIB,4.660224001535007,4.3518601412291895,1.3093920945526918,5.429412749487395,-1.095399281096558,14.918863250387886,benchmark_pur,10,bootstrap_empirique,2034,False,10000
INFLATION_CPI,3.2008680079945244,2.568592012783758,0.7787013951491957,3.990996239482736,-2.4627758155229875,4.629905917263089,benchmark_pur,10,bootstrap_empirique,2034,False,10000
SOBG,-1.206300576357885,-1.4144195240096016,-2.5808312552080404,1.222409382760153,-5.620836174170911,1.6589343741735327,benchmark_pur,10,bootstrap_empirique,2034,False,10000
DETTE_PUBLIQUE,18.833228953031036,19.336681213815353,16.291930625751522,26.351061965012615,7.316227156214975,27.075257840350073,benchmark_pur,10,bootstrap_empirique,2034,False,10000
BALANCE_COURANTE,5.928262278635382,6.335019876422381,2.769006122922801,10.86649222467894,2.232827208167471,11.146658331074965,benchmark_pur,10,bootstrap_empirique,2034,False,10000
TACH,4.873391382479406,4.869820931684282,4.103576718814786,5.456981261640072,2.6148148918703136,6.464246350279316,benchmark_pur,10,bootstrap_empirique,2034,False,10000
FBCF,18.22782716612,18.100704930428236,16.01078142151978,20.234847855320762,13.151032067459408,21.270879830573143,benchmark_pur,10,bootstrap_empirique,2034,False,10000
CROISSANCE_PIB,4.620180034896088,4.593452693907185,1.3128897715982384,7.882851294337969,-1.9260838077392777,10.923227925978258,convergence_faible,1,gaussienne,2025,True,10000
INFLATION_CPI,2.0179089300268465,2.0305256525287105,0.09677966943261469,3.9599453080378653,-1.7165844374311483,5.839616061176537,convergence_faible,1,gaussienne,2025,True,10000
SOBG,-3.3476338534051022,-3.360118609158463,-5.313616931584683,-1.4358567720884565,-7.193307162807689,0.5059244955989466,convergence_faible,1,gaussienne,2025,True,10000
DETTE_PUBLIQUE,60.87094786495321,60.868162490676596,56.09427764769806,65.67975527843535,51.3999563944683,70.29201261681814,convergence_faible,1,gaussienne,2025,True,10000
BALANCE_COURANTE,-0.4075015623671123,-0.34750855069528613,-3.2767477199259876,2.653801158902298,-6.039211477344219,5.506484047648712,convergence_faible,1,gaussienne,2025,True,10000
TACH,8.428533591821353,8.432293342100575,7.601478764496251,9.259380215975092,6.81057911126678,10.070925858838331,convergence_faible,1,gaussienne,2025,True,10000
FBCF,25.746237358060597,25.73709116736054,23.582035521682386,27.906861131102094,21.46243848647414,29.873757290248452,convergence_faible,1,gaussienne,2025,True,10000
CROISSANCE_PIB,5.928405210247128,5.620041349941309,2.5775733032648125,6.697593958199516,0.17278192761556266,16.187044459100008,convergence_faible,1,bootstrap_empirique,2025,True,10000
