cible,horizon,modele,bloc,baseline_comparaison,n_previsions,rmse_modele,mae_modele,rmse_baseline,mae_baseline,biais_moyen_modele,gain_rmse_vs_baseline_pct,seuil_gain_atteint,statut,dm_pvalue_hln,dm_statut,rmse_relative_modele,rmse_relative_baseline,derive_systematique
CROISSANCE_PIB,4,panel_avec_effets_fixes,interne,random_walk,8,4.428752736034439,2.668384267646952,2.978878911301762,1.9141325779479001,2.5450620204464447,-48.6717945879541,False,evalue,0.47116223349479247,calcule,,,
CROISSANCE_PIB,4,panel_avec_effets_fixes,finale,random_walk,4,2.3276219692232143,1.8249461347088927,5.74718252915529,4.02150789896993,-0.3872855510436518,59.49977302068873,True,evalue,,non_calcule,,,
CROISSANCE_PIB,4,panel_leave_one_country_out,interne,random_walk,8,4.3532242324794685,2.570714779028751,2.978878911301762,1.9141325779479001,2.399989456840483,-46.1363271922027,False,evalue,0.4898491879127964,calcule,,,
CROISSANCE_PIB,4,panel_leave_one_country_out,finale,random_walk,4,2.3794942612472476,1.8538675645424516,5.74718252915529,4.02150789896993,-0.47056915507110053,58.5972039486106,True,evalue,,non_calcule,,,
CROISSANCE_PIB,5,elasticnet,interne,random_walk,6,5.0907356418096485,3.2344632044066155,5.22257040052508,3.4325221207452308,2.881270193488428,2.5243270766091856,False,evalue,,non_calcule,,,
CROISSANCE_PIB,5,elasticnet,finale,random_walk,4,2.6877391181561214,1.9092615318877515,4.182251468879381,3.09278807756803,-0.687794623256679,35.73463628010174,True,evalue,,non_calcule,,,
CROISSANCE_PIB,5,panel_avec_effets_fixes,interne,random_walk,6,5.178912682857823,3.39982616249999,5.22257040052508,3.4325221207452308,3.3165934669958403,0.8359431145795071,False,evalue,,non_calcule,,,
CROISSANCE_PIB,5,panel_avec_effets_fixes,finale,random_walk,4,2.2626876872665327,1.8174295311669844,4.182251468879381,3.09278807756803,-0.05390878925826881,45.89785659462481,True,evalue,,non_calcule,,,
CROISSANCE_PIB,5,panel_leave_one_country_out,interne,random_walk,6,4.820362783743507,3.0667557492912523,5.22257040052508,3.4325221207452308,2.585566087014929,7.7013345141529355,False,evalue,,non_calcule,,,
CROISSANCE_PIB,5,panel_leave_one_country_out,finale,random_walk,4,2.2488652482640887,1.6753222592559922,4.182251468879381,3.09278807756803,-0.32392034701898487,46.228358935416566,True,evalue,,non_calcule,,,
INFLATION_CPI,1,elasticnet,interne,random_walk,14,0.9053905302208094,0.7356780560232902,1.1946497616750913,0.943202261282393,0.33450822157746835,24.212889897428504,True,evalue,0.23181645705198206,calcule,,,
INFLATION_CPI,1,elasticnet,finale,random_walk,4,3.565462936097415,2.9150510281605144,3.690887629316112,2.905714700459643,-1.9325387622696724,3.398225733627587,False,evalue,,non_calcule,,,
INFLATION_CPI,1,panel_avec_effets_fixes,interne,random_walk,14,1.5972912707799247,1.3224674678604458,1.1946497616750913,0.943202261282393,0.7496315882034834,-33.7037282408415,False,evalue,0.07683739033108217,calcule,,,
INFLATION_CPI,1,panel_avec_effets_fixes,finale,random_walk,4,3.8182301871912894,2.6567027752778,3.690887629316112,2.905714700459643,-2.5050003814924713,-3.4501878860715314,False,evalue,,non_calcule,,,
INFLATION_CPI,1,panel_leave_one_country_out,interne,random_walk,14,1.994551843026462,1.7095566449683315,1.1946497616750913,0.943202261282393,1.4161492263810243,-66.95703686658584,False,evalue,0.010448776164773799,calcule,,,
INFLATION_CPI,1,panel_leave_one_country_out,finale,random_walk,4,3.2353910647256248,2.3834539150126184,3.690887629316112,2.905714700459643,-1.1292934478232586,12.341111687404222,True,evalue,,non_calcule,,,
INFLATION_CPI,2,elasticnet,interne,random_walk,12,0.8883691352967805,0.7450063672876533,1.0767703800423227,0.8337813644749147,0.7176279317489062,17.496882180037034,True,evalue,0.49459400400499587,calcule,,,
INFLATION_CPI,2,elasticnet,finale,random_walk,4,3.4715486774825624,2.6786784582067575,4.7639196230272915,4.352653572572399,-2.1863329556247275,27.128311302688942,True,evalue,,non_calcule,,,
INFLATION_CPI,2,panel_avec_effets_fixes,interne,random_walk,12,1.813937175063978,1.5795058108069766,1.0767703800423227,0.8337813644749147,1.5795058108069766,-68.46090946453046,False,evalue,0.05561473242914916,calcule,,,
INFLATION_CPI,2,panel_avec_effets_fixes,finale,random_walk,4,3.7609868001628985,3.129656660398492,4.7639196230272915,4.352653572572399,-2.039267419577305,21.052681451981908,True,evalue,,non_calcule,,,
INFLATION_CPI,2,panel_leave_one_country_out,interne,random_walk,12,2.9349488190385298,2.8318309647931748,1.0767703800423227,0.8337813644749147,2.8318309647931748,-172.5696094020687,False,evalue,0.0006159174782165433,calcule,,,
INFLATION_CPI,2,panel_leave_one_country_out,finale,random_walk,4,3.578505636171591,3.3084185176620977,4.7639196230272915,4.352653572572399,-0.5117921058764299,24.883165138340743,True,evalue,,non_calcule,,,
INFLATION_CPI,3,elasticnet,interne,random_walk,10,0.8741548157995385,0.707637428502292,1.0514085961781887,0.693000045455179,0.6558556074476327,16.858696136112812,True,evalue,0.6807050561955643,calcule,,,
INFLATION_CPI,3,elasticnet,finale,random_walk,4,3.4864503503916766,2.6081774539159714,4.174453321029221,3.1393722435294724,-2.303805047857033,16.48127114445528,True,evalue,,non_calcule,,,
INFLATION_CPI,3,panel_avec_effets_fixes,interne,random_walk,10,1.638506102361951,1.4327454037788157,1.0514085961781887,0.693000045455179,1.4327454037788157,-55.839138876915094,False,evalue,0.011890612882895057,calcule,,,
INFLATION_CPI,3,panel_avec_effets_fixes,finale,random_walk,4,3.617576790100734,2.755497798377057,4.174453321029221,3.1393722435294724,-2.333511136056276,13.340106790107495,True,evalue,,non_calcule,,,
INFLATION_CPI,3,panel_leave_one_country_out,interne,random_walk,10,3.6605145326983197,3.5192996002473493,1.0514085961781887,0.693000045455179,3.5192996002473493,-248.15337690828142,False,evalue,0.0033473191829969107,calcule,,,
INFLATION_CPI,3,panel_leave_one_country_out,finale,random_walk,4,2.973782423706595,2.899407967554349,4.174453321029221,3.1393722435294724,-0.64257830168311,28.76235053998873,True,evalue,,non_calcule,,,
INFLATION_CPI,4,elasticnet,interne,random_walk,8,0.852982986395326,0.6558924965945793,0.9509284351486202,0.8913339496344459,0.6067696287178174,10.299981064083585,True,evalue,0.6670407357310308,calcule,,,
INFLATION_CPI,4,elasticnet,finale,random_walk,4,3.4291967369341574,2.574577586272331,3.793017672579275,2.8918660813963557,-2.256049639181642,9.591859755235914,False,evalue,,non_calcule,,,
INFLATION_CPI,4,panel_avec_effets_fixes,interne,random_walk,8,1.4635843444958139,1.3312512179088258,0.9509284351486202,0.8913339496344459,1.3312512179088258,-53.911092612039816,False,evalue,0.08186160264932041,calcule,,,
INFLATION_CPI,4,panel_avec_effets_fixes,finale,random_walk,4,3.1678682032604506,2.4732592213654114,3.793017672579275,2.8918660813963557,-1.9652153110030084,16.481585989914958,True,evalue,,non_calcule,,,
INFLATION_CPI,4,panel_leave_one_country_out,interne,random_walk,8,3.565253882545214,3.494498818291524,0.9509284351486202,0.8913339496344459,3.494498818291524,-274.9234696076789,False,evalue,0.00032537715587444005,calcule,,,
INFLATION_CPI,4,panel_leave_one_country_out,finale,random_walk,4,2.4130115951127182,2.349968458356739,3.793017672579275,2.8918660813963557,-0.26150626342173044,36.382801151784356,True,evalue,,non_calcule,,,
