variable,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28
INFLATION_CPI,-0.04834313292406627,-0.2960096882082697,-0.01761059688099472,-0.05421094695780909,0.1109220550677417,-0.4264684763946845,0.649245259097987,0.4051794085617459,-0.2847724470839788,0.12637072780741848,-0.08788944759340157,0.04053862987921002,0.1159275642544128,-0.06421771780991717,-0.011489643442688694,-0.038502660776305014,0.02099105365110201,-0.02706111232208099,0.007563725884817184,0.0017135352231887333,-0.0087081401646397,-4.006972274192387e-06,0.0018692182490724829,-0.0005665490631272416,0.0005260092665503504,-7.706510071962952e-14,2.6346242823899164e-17,3.848282996345777e-17
LFPRF,-0.06421910800959948,0.7653158711619193,-0.6035616875725786,0.0870016820567362,0.04486331101458081,-0.02158256982750643,0.001196748344828931,-0.025853435321939223,-0.02097583633448331,-0.020209984164268727,0.11585024694896293,0.08094381556263963,0.08431886159230152,0.026925610039116227,0.06037798237745253,-0.014866264236454914,-0.009360377836324728,0.001990610876038793,0.002138956568552257,0.02098874585896363,-0.02378022358345634,-0.00668071963336136,0.0017447673573149152,-0.0020467799013962544,0.03855310383216849,1.4976021577588564e-12,-1.2828175329046483e-17,4.30546511630707e-17
OUVERTURE_COM,-0.6990221417685492,0.5839363319072947,0.2430366067945691,-0.11554574246669923,-0.11891901115340278,0.13259057369731583,-0.0309294481171351,-0.023230029715889184,-0.08047848947621786,0.06805998660803385,-0.10874907729295297,0.1998814207149716,-0.016917420844458415,-0.005846117929761661,-0.025730586062734102,-0.0027717871946317343,-0.00020396194592924713,-0.02367521122876547,-0.006820549821832292,-0.0154091020842581,0.0031685983664118604,0.0004270700232584448,0.002995021258841811,0.0029675538755478117,-8.053165067926342e-05,1.3845268127269109e-13,-9.504394056092547e-17,2.673709126959746e-15
POP_ACTIVE_TOTALE,-0.7182072143400534,0.00041177723959729545,-0.36361109819557735,-0.24002272835817443,0.32028998166540507,-0.22901242200758695,0.20236219427894683,-0.24583335681055113,0.016585035541890947,-0.05567098102435736,-0.06663142483431683,-0.030351962288385215,-0.06099357251757057,0.12141795805729062,0.03053176394129417,0.00299385252616125,0.01540129675947279,-0.00037267849658732707,0.0245745409311008,-0.04128959264969342,0.0695633974398053,-0.048425295783805326,-0.006252321996432269,-0.005400255085830602,0.0001509307947905465,1.2032774884808427e-13,3.447124961220665e-18,-8.482670365359191e-17
RETO,0.5123031452521958,0.4831022574671109,0.14143619961569417,-0.03383879143697935,0.6357903626561667,0.08892958585149696,-0.13400730610051717,0.044213503838039306,-0.06978854118860685,0.13212376541894455,-0.11118433570136108,-0.06531396090628838,0.0494318431122531,0.02241299039988822,0.05846740241604321,0.07032063095458628,0.01584567926370118,-0.00804823686192439,0.010809172468915334,-0.011129843117341522,-0.0002579135487348699,0.010680532377528047,0.004581890977473973,-0.00114237557101366,-0.0007054134737169636,-6.5560257682981305e-15,1.5916215503092085e-14,2.2272214666284222e-17
SOBG,-0.08964186980137878,0.21994721952427224,0.2552241037787228,0.7929760934334837,0.27988983980453475,0.1734293555258857,0.1361360431320901,-0.17052357809435886,0.02098008797929086,-0.2484334233467165,-0.05449936439709895,-0.02142193320349839,0.08334956990913747,-0.02109606909491876,-0.002505603255985909,-0.02246954967220321,0.1156155641485683,-0.04743039230550677,0.04880317199106237,-0.04116050686104916,-0.018525794477314474,0.006571555239508293,0.006104324384645108,-0.0012335824145176828,-0.0005244624294937046,-1.998602434024125e-13,-3.959326472720397e-15,6.546263507642151e-18
SOPR,0.01952902250936869,-0.10393627081858187,0.2828506861375572,0.7645325838354289,0.3732345535393182,0.15018917132211435,0.2379150507335892,0.03997797251146794,-0.12824931641770385,-0.026093014033375956,0.10579218976149522,0.1407552031086508,-0.189380160984664,0.054676436321263906,-0.0150291319752452,0.048083383104072966,-0.10112233940556851,0.03352311600870742,-0.03212250985404054,0.043025188511915884,0.020152917550032175,-0.007618288232767757,-0.003919619635591529,-0.00022742614590967673,0.0012341314315340083,1.6469735369619314e-13,-1.6728136795037452e-17,-4.245111127225511e-17
TAAC,0.09500476935594233,0.789745169245258,-0.5482578985707104,0.12650850571356326,0.09057456255383654,0.03262928002993895,0.012276194187199848,0.01791599674081152,-0.02697531502136259,0.0022818244268975564,0.1271543288547327,0.07904867110692919,0.06746288901069955,-0.022874635980320596,0.08854147650167327,-0.03239163773255673,0.024582331488779217,0.002003996871112184,-0.017341498849045494,0.014112036809834298,-0.01799515723341067,-0.013729661710747037,-0.035481590361482886,0.021874536171710656,-0.02178033801046384,-1.6794286450508868e-12,-2.897262047069481e-17,9.150584102150717e-17
TACH,0.603616902490516,-0.6313754068117741,0.05321766402218167,-0.16224421653716212,0.03792075581134964,0.13085551718849125,0.07504881864939014,-0.3464168053951097,-0.09079455103522563,0.05399866664067598,0.021298575128801196,0.16450299329200938,0.08613425648371176,0.021627965542261197,0.09601251047483189,0.009593335077319357,-0.018221060597595845,-0.025018951681125248,-0.024737511295232988,0.005687546770880523,-0.06015223287822171,-0.04486856064859835,0.01782068846071972,-0.012954815288394424,-0.008217800133878331,1.6157473275525242e-13,9.769548185506315e-18,4.3251391118220634e-17
TAUX_EMPLOI_15P,-0.41325262099209953,0.7086396707487631,-0.5076689967260708,0.1331730216280838,-0.0474833405554107,-0.026102045597462004,0.0038163552641110945,0.08799306990723478,0.005819950525425891,-0.05283894270619537,0.15200365919155764,0.0012577356613856275,0.033675066105831694,-0.03382919991578261,0.07766794855002854,-0.04053669201599884,-0.031896120320578945,-0.008621978047617402,-0.005074660854730815,0.01584074472078241,0.03107450219245966,0.021162574958205827,0.03794386242605422,-0.02185675306055537,-0.017609672415645178,1.6461950213020058e-13,5.270701511481413e-18,1.3474025172784885e-17
UNFE,0.6271629032812753,-0.6076828825077965,0.036886693702003044,-0.09574260210919007,-0.05940777655252483,0.04348871770116523,0.12065166108638925,-0.3457785609896244,-0.07048849637628407,0.030306605130880456,0.02943269983583044,0.204683108930348,0.14609804639608678,0.03314953274600139,0.09023099189943294,-0.020634983639888686,0.026071435478190835,0.020693668262660697,0.003382107767754604,0.016836360146773286,0.059054035945102765,0.05176511172071333,-0.00649914740029006,0.006272594895198354,0.0031243982232223477,-3.119077838496005e-14,1.3254350305096358e-17,7.753156828342171e-17
VAAG,-0.8041853131209747,-0.40409564754516714,-0.2587571916761513,0.03501656304286961,-0.014213674720268559,0.18885105122720328,-0.024023313622175194,0.11140020208946344,-0.036026340204639205,0.041548872741613965,0.00600272491409095,0.08899734891384123,0.030831488861929355,-0.07337501399955994,-0.002872750144045589,0.1294201738843532,0.10996919483319846,0.1623499748531321,0.01217100610862715,0.009798205479719624,-0.004764637603492476,-0.009247883046868216,0.008890421534655371,-0.00030398178606817907,-0.0014371296029936807,1.867480017787859e-13,1.0358011552677723e-17,-4.08634100350411e-17
VAIN,-0.8366329420060771,0.17458787226090333,0.294627704371256,-0.03371042803349421,-0.15225937008243073,-0.043352600218452136,0.06188822539344987,-0.08225627367512262,-0.05095315507545199,-0.0548488908932612,0.14788210157431145,-0.08048926675850653,0.2614940434555269,0.08634220907142835,-0.04758376881474352,0.13327662230060408,-0.10507055007351364,-0.007481932130124846,0.06779698492883242,0.01592057760668354,-0.009520716478901896,0.0018877907085323566,-0.009343899429500058,-0.0011838659579798628,-0.0046953151295031905,-6.103902044757299e-13,-1.8822787663237277e-17,-2.434379216592324e-17
VASE,0.9052531230482849,0.2645636285457687,-0.029135575816659185,-0.01888122236067675,-0.11557659228361897,-0.09207318923801987,-0.016109155862715784,0.05972407470885495,0.016844413480219943,-0.007531284514637387,-0.10709331267325536,0.1509526765223765,-0.12489417092174236,-0.002855337915616373,0.04301588855532037,-0.06743284753249698,-0.06266612281940906,0.07671167007857094,0.1294975195653436,-0.013567588321449733,-0.016194750240838118,-0.0016536073445079236,-0.0011137889747245252,-0.0034184709374837133,-0.003442408948470781,-5.415936495525301e-13,-3.639582133169566e-17,-3.8705959736812526e-17
WSWF,0.6863978513642064,0.4422414392973304,0.4946142481656873,0.022654721969584925,-0.14549960877105408,0.04065491261133338,-0.09005951562726768,0.03275839661559275,0.030493138487670046,0.0044259470561476295,0.005755224788116853,-0.023765924173356438,0.09144101894283677,-0.17868501666451606,-0.003308195988007457,-0.009590030528818351,0.04108106836883115,-0.019948807765244547,0.02305144176098871,0.08079305281465463,0.053918348793876206,-0.045879600111395545,0.0033487254027374435,0.000736057406465111,0.002962032306122605,2.398127853358134e-13,-2.4020942110970295e-17,-1.0096480678110383e-17
