variable,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28
SOBG,0.008035664821487345,0.0483767793764584,0.06513934314965227,0.6288110847570292,0.07833832242580813,0.030077741358124063,0.018533022239662297,0.029078290686102907,0.00044016409161878493,0.06171916583576886,0.002970180719687777,0.00045889922217514674,0.0069471508040381946,0.00044504413125758636,6.278047676407189e-06,0.0005048806624716075,0.013366958673391712,0.0022496421142542754,0.0023817495963892148,0.0016941873250584751,0.0003432050610156955,4.31853382659089e-05,3.7262776192972875e-05,1.5217255734072762e-06,2.75060839950439e-07,3.9944116892871566e-26,1.5676266117584544e-29,4.2853565911487325e-35
SOPR,0.00038138272017142894,0.010802748391673592,0.08000451064848689,0.584510071746077,0.1393040319556942,0.022556787182423415,0.056603571365566326,0.001598238286127686,0.016447887161608322,0.0006808453813459546,0.011191987414532215,0.01981202720215754,0.03586484537457726,0.002989512688793227,0.00022587480792933768,0.0023120117307330497,0.010225727526854994,0.001123799306933256,0.0010318556393229315,0.0018511668464858985,0.00040614008577839484,5.803831559752768e-05,1.536341808771467e-05,5.172265184332957e-08,1.5230803903001805e-06,2.712521831452894e-26,2.798305606334859e-34,1.802096848249385e-33
TAAC,0.0090259062003758,0.6236974323462211,0.30058672334517134,0.016004402017878668,0.00820375138181885,0.0010646699152721728,0.00015070494372183935,0.000320982939216769,0.0007276676205017501,5.206722715186362e-06,0.016168223346497514,0.006248692403771462,0.0045512413936699666,0.0005232489712321776,0.00783959306109636,0.001049218194997193,0.0006042910214242263,4.016003459427424e-06,0.0003007275823314462,0.0001991495829221182,0.0003238256838551724,0.00018850361069155323,0.0012589432545800751,0.0004784953327274779,0.000474383123850056,2.8204805738174575e-24,8.394127369389239e-34,8.373318941053344e-33
TACH,0.36435336497224513,0.3986349043267332,0.0028321197639778095,0.02632318579975755,0.0014379837213040075,0.01712316637866753,0.00563232518066905,0.12000460306015331,0.008243650497688191,0.002915855998970853,0.00045362930251718886,0.027061234802030883,0.007419110140001841,0.00046776889349723765,0.009218402167679704,9.2032077905726e-05,0.00033200704930125985,0.0006259479432224799,0.0006119444650817796,3.234818827095347e-05,0.003618291120235817,0.0020131877346769482,0.000317576937214029,0.00016782723915641793,6.753223904037071e-05,2.610639426493124e-26,9.544407174892973e-35,1.8706828336612948e-33
TAUX_EMPLOI_15P,0.17077772875683986,0.5021701829589154,0.25772781023685526,0.017735053689554078,0.002254667630301111,0.0006813167843719856,1.4564567501908462e-05,0.0077427803516995075,3.3871824118405105e-05,0.002791953866308597,0.023105112407623207,1.5818989939211419e-06,0.0011340100772321345,0.001144414766941986,0.00603231023196988,0.0016432233995999441,0.0010173624915048491,7.433850545359638e-05,2.5752182790537284e-05,0.00025092919330899576,0.0009656246865091802,0.00044785457886168035,0.0014397366958073293,0.0004777176543500965,0.00031010056258633467,2.709958048159511e-26,2.778029442313245e-35,1.8154935435684074e-34
UNFE,0.39333330725219834,0.3692784856929843,0.001360628172265391,0.009166645858638687,0.0035292839149147185,0.0018912685672916422,0.014556823322904934,0.1195628132400554,0.0049686281213894125,0.0009184903145591096,0.0008662838196260932,0.041895175081392705,0.021344639160753128,0.0010988915212782184,0.008141631899155533,0.00042580254981847376,0.0006797197478934677,0.0004282279061650506,1.143865295270603e-05,0.0002834630229918558,0.0034873791614054893,0.0026796267914579327,4.2238916930697045e-05,3.934544671926845e-05,9.761864257274964e-06,9.72864656259691e-28,1.7567780201020792e-34,6.0111440804868834e-33
VAAG,0.6467140178394802,0.16329329236494794,0.0669552842441285,0.001226159687335262,0.0002020285490536015,0.03566471954961976,0.0005771195973893882,0.012410005025573295,0.0012978971885404032,0.0017263088260988319,3.60327063942482e-05,0.007920528113691996,0.0009505807054432739,0.005383892679435617,8.252693390113954e-06,0.01674958140825622,0.012093223812261963,0.026357514334812624,0.00014813338969623942,9.600483062280767e-05,2.2701771492614525e-05,8.552334084855256e-05,7.903959506386396e-05,9.240492626120018e-08,2.065341495800774e-06,3.487481616836942e-26,1.0728840332540516e-34,1.6698182796918976e-33
VAIN,0.6999546796497439,0.030480925140589497,0.08680548418307624,0.001136392958201392,0.0231829157778986,0.0018794479457009362,0.003830152442350453,0.00676609455891667,0.002596224012143059,0.0030084008322208713,0.02186911596603497,0.006478522063322023,0.06837913476272099,0.007454977067334245,0.002264215054614958,0.017762658051857876,0.011039820492750737,5.597930839979451e-05,0.0045964311654403305,0.0002534647913304333,9.064404227163412e-05,3.563753759221097e-06,8.730845654861151e-05,1.4015386064635783e-06,2.204598416534156e-05,3.7257620171992337e-25,3.5429733541531746e-34,5.9262021701766566e-34
VASE,0.8194832167886732,0.06999391354930348,0.0008488817781682955,0.0003565005578333196,0.013357948683893891,0.008477472176460218,0.00025950490260927034,0.0035669650998288874,0.0002837342654926153,5.6720246440416894e-05,0.011468977619331638,0.02278671054926924,0.015598553930229395,8.152954612356454e-06,0.001850366668203742,0.004547188926340985,0.003927042949217261,0.0058846803262435155,0.01676960757357655,0.0001840794528603392,0.0002622699353631263,2.734417249810547e-06,1.2405258802179088e-06,1.1685943550420778e-05,1.1850179368511709e-05,2.9332368123562883e-25,1.3246558104087129e-33,1.4981513191477524e-33
WSWF,0.47114201035739917,0.19557749063177438,0.24464325448850807,0.0005132364275191939,0.021170136152529797,0.001652821919435154,0.008110716355018071,0.0010731125488244787,0.0009298314948282243,1.958900734382187e-05,3.312261236175467e-05,0.0005648191518137279,0.008361459945304232,0.03192833518039838,1.0944160695068635e-05,9.196868554366799e-05,0.0016876541783245793,0.0003979549312546811,0.0005313689672602543,0.006527517383111572,0.002907188336658092,0.002104937706381566,1.1213961822939054e-05,5.417805056121456e-07,8.773635382513998e-06,5.751017201052091e-26,5.7700565989858605e-34,1.019389220834563e-34
